CurrentNumberOfKeys: 1 | TreeHeight: 0 | CacheHits: 0 | CacheMisses: 0 | CacheHitRatio: -nan(ind) | ReadNumber: 0 | WriteNumber: 1 | TotalIO: 1
CurrentNumberOfKeys: 2 | TreeHeight: 0 | CacheHits: 0 | CacheMisses: 0 | CacheHitRatio: -nan(ind) | ReadNumber: 0 | WriteNumber: 1 | TotalIO: 1
CurrentNumberOfKeys: 3 | TreeHeight: 0 | CacheHits: 0 | CacheMisses: 0 | CacheHitRatio: -nan(ind) | ReadNumber: 0 | WriteNumber: 1 | TotalIO: 1
CurrentNumberOfKeys: 4 | TreeHeight: 0 | CacheHits: 0 | CacheMisses: 0 | CacheHitRatio: -nan(ind) | ReadNumber: 0 | WriteNumber: 1 | TotalIO: 1
CurrentNumberOfKeys: 5 | TreeHeight: 0 | CacheHits: 0 | CacheMisses: 0 | CacheHitRatio: -nan(ind) | ReadNumber: 0 | WriteNumber: 1 | TotalIO: 1
CurrentNumberOfKeys: 6 | TreeHeight: 0 | CacheHits: 0 | CacheMisses: 0 | CacheHitRatio: -nan(ind) | ReadNumber: 0 | WriteNumber: 1 | TotalIO: 1
CurrentNumberOfKeys: 7 | TreeHeight: 1 | CacheHits: 0 | CacheMisses: 0 | CacheHitRatio: -nan(ind) | ReadNumber: 0 | WriteNumber: 3 | TotalIO: 3
CurrentNumberOfKeys: 8 | TreeHeight: 1 | CacheHits: 0 | CacheMisses: 1 | CacheHitRatio: 0.000000 | ReadNumber: 1 | WriteNumber: 1 | TotalIO: 2
CurrentNumberOfKeys: 9 | TreeHeight: 1 | CacheHits: 0 | CacheMisses: 1 | CacheHitRatio: 0.000000 | ReadNumber: 1 | WriteNumber: 1 | TotalIO: 2
CurrentNumberOfKeys: 10 | TreeHeight: 1 | CacheHits: 1 | CacheMisses: 0 | CacheHitRatio: 1.000000 | ReadNumber: 0 | WriteNumber: 1 | TotalIO: 1
CurrentNumberOfKeys: 11 | TreeHeight: 1 | CacheHits: 1 | CacheMisses: 0 | CacheHitRatio: 1.000000 | ReadNumber: 0 | WriteNumber: 1 | TotalIO: 1
CurrentNumberOfKeys: 12 | TreeHeight: 1 | CacheHits: 0 | CacheMisses: 1 | CacheHitRatio: 0.000000 | ReadNumber: 1 | WriteNumber: 1 | TotalIO: 2
CurrentNumberOfKeys: 13 | TreeHeight: 1 | CacheHits: 1 | CacheMisses: 0 | CacheHitRatio: 1.000000 | ReadNumber: 0 | WriteNumber: 1 | TotalIO: 1
CurrentNumberOfKeys: 14 | TreeHeight: 1 | CacheHits: 1 | CacheMisses: 9 | CacheHitRatio: 0.100000 | ReadNumber: 9 | WriteNumber: 3 | TotalIO: 12
CurrentNumberOfKeys: 15 | TreeHeight: 1 | CacheHits: 2 | CacheMisses: 2 | CacheHitRatio: 0.500000 | ReadNumber: 2 | WriteNumber: 3 | TotalIO: 5
CurrentNumberOfKeys: 16 | TreeHeight: 1 | CacheHits: 1 | CacheMisses: 0 | CacheHitRatio: 1.000000 | ReadNumber: 0 | WriteNumber: 1 | TotalIO: 1
CurrentNumberOfKeys: 17 | TreeHeight: 1 | CacheHits: 1 | CacheMisses: 0 | CacheHitRatio: 1.000000 | ReadNumber: 0 | WriteNumber: 1 | TotalIO: 1
CurrentNumberOfKeys: 18 | TreeHeight: 1 | CacheHits: 1 | CacheMisses: 6 | CacheHitRatio: 0.142857 | ReadNumber: 6 | WriteNumber: 3 | TotalIO: 9
CurrentNumberOfKeys: 19 | TreeHeight: 1 | CacheHits: 0 | CacheMisses: 7 | CacheHitRatio: 0.000000 | ReadNumber: 7 | WriteNumber: 3 | TotalIO: 10
CurrentNumberOfKeys: 20 | TreeHeight: 1 | CacheHits: 3 | CacheMisses: 3 | CacheHitRatio: 0.500000 | ReadNumber: 3 | WriteNumber: 3 | TotalIO: 6
